user_id,post_id
1,2
1,5
1,9
1,16
1,17
1,18
1,20
1,23
1,24
1,28
1,32
1,34
1,35
1,36
1,37
1,39
1,40
1,41
1,43
1,47
1,51
1,52
1,54
1,58
1,61
1,63
1,64
1,65
1,66
1,67
1,70
1,71
1,78
1,85
1,89
1,94
1,97
1,98
2,1
2,3
2,5
2,7
2,9
2,10
2,12
2,15
2,18
2,19
2,25
2,27
2,28
2,29
2,31
2,36
2,38
2,39
2,40
2,42
2,44
2,46
2,48
2,50
2,51
2,52
2,54
2,57
2,58
2,60
2,63
2,64
2,65
2,71
2,73
2,78
2,80
2,81
2,83
2,84
2,85
2,86
2,88
2,93
2,94
2,96
2,99
3,1
3,3
3,4
3,6
3,8
3,9
3,10
3,12
3,16
3,18
3,23
3,30
3,34
3,38
3,46
3,52
3,54
3,56
3,59
3,63
3,64
3,65
3,70
3,73
3,74
3,76
3,78
3,80
3,81
3,82
3,85
3,90
3,95
3,96
3,99
4,2
4,3
4,6
4,8
4,9
4,10
4,13
4,15
4,17
4,18
4,19
4,21
4,24
4,27
4,30
4,31
4,33
4,37
4,42
4,43
4,44
4,47
4,48
4,52
4,56
4,62
4,68
4,71
4,83
4,84
4,87
4,90
4,91
4,93
4,98
4,100
5,1
5,4
5,11
5,12
5,15
5,24
5,28
5,29
5,31
5,34
5,39
5,40
5,42
5,43
5,45
5,58
5,59
5,62
5,65
5,66
5,67
5,70
5,79
5,82
5,87
5,90
5,91
5,92
5,96
5,97
5,99
6,1
6,11
6,12
6,19
6,29
6,30
6,32
6,36
6,40
6,41
6,49
6,52
6,55
6,57
6,62
6,64
6,68
6,69
6,71
6,74
6,75
6,76
6,78
6,83
6,85
6,88
6,95
6,97
6,98
6,99
6,100
7,2
7,5
7,8
7,11
7,16
7,17
7,19
7,21
7,22
7,24
7,30
7,31
7,33
7,35
7,40
7,42
7,44
7,45
7,47
7,48
7,50
7,54
7,56
7,60
7,61
7,62
7,65
7,66
7,67
7,69
7,72
7,74
7,75
7,76
7,78
7,80
7,81
7,84
7,90
7,94
7,98
7,99
7,100
